,app_name,bundle,description,genres,os_platform,lang_code,description_keyword_list,keyword-1,keyword-2,keyword-3,keyword-4,keyword-5,keyword-6,keyword-7,keyword-8,keyword-9,keyword-10
10,XOX: Tic Tac Toe,590715235,"XOX is a Tic-Tac-Toe (Naughts and Crosses) game with high score ability.  Find out how many games in a row you can win to become the XOX world champion.  Contains both single and multiplayer mode.  Play against your friends in Hotseat mode or anywhere in the world via Game Center.

If you like this game please consider rating it and writing a review.

Made in Queensland, Australia by Matthew Raftery of SNATCO and don't forget to try my other apps available on the App Store.

Find us on Facebook at https://www.facebook.com/xoxgame and become a fan or suggest feedback","['Games_Board', 'Games_Family', 'Entertainment']",IOS,en,"['xox', 'game', 'xoxgame', 'toe', 'tic', 'tac', 'snatco', 'raftery', 'queensland', 'crosses']",xox,game,xoxgame,toe,tic,tac,snatco,raftery,queensland,crosses
11,Super.Hero Defense Game for Bat.man V Super.man,1172642102,"A strange toxin has entered the city and almost people in the city were transformed into the Zombies.
The Zombies are very ferocious and they can destroy everything that prevents them.
There is only one change to save the city, it is the Superhero Team.
The Superhero Team has elite and brave soldiers, . Each soldier has different skill and strength, constitute a strong team can defeat everything.
So now, let's lead you Superhero Team to kill the Zombies and save the city.
Besides, you also have the different skills to help you a lot of in defeating the Zombies.
It's great that you can using your gold, gem to upgrade your soldier, skill to get a most terrible power.

Features:
- 8 Superhero with different skill and strength.
- 9 type of zombies with different ability (freeze unit, suicide bombers...)
- 3 skills you can using.
- Diversity upgrade systems (health, damage, range, critical...)
- There are many diversity quests to earn more gold and gem.
- Get your free reward every day. 
- Over 40 level. The difficulty of each level will be increased, requires you must have a great skill to complete.
- You will get gem and gold after complete each level, the reward will be increased after each level and you will get more reward if you complete the level with more star.
- With the library system, you view detail of zombie's information, this will help you have reasonable tactic to kill every zombie.","['Games_Action', 'Games_Strategy', 'Entertainment']",IOS,en,"['zombie', 'superhero', 'skill', 'team', 'gem', 'soldier', 'city', 'gold', 'reward', 'level']",zombie,superhero,skill,team,gem,soldier,city,gold,reward,level
12,Scary banana Granny mods,com.bananahorror.granny.chaptertwominion,"Welcome to the scary min ion granny horror game Scary minion granny and secrets of his neighbors creepy granny. This is granny mods, where all of the scary granny mods are on mobile.
Scary Min ion Granny - Horror Game you have 5 days needs to enter into scary minion house after finding the main entrance of his neighbor scary granny house, and then perform various missions including stealing keys and screwing her home stuff.
Scary Min ion Granny - Horror Game Features:
- Horror neighbor house
- Fearful and tension atmosphere
- High quality scary music
- Scary sound
- 3D graphics
- Smooth and Easy Controls
- Amazing environments
If you want to have a scary time, Download and play Scary Minion Granny - Horror Game now
Good luck",['GAME_ROLE_PLAYING'],ANDROID,en,"['granny', 'scary', 'horror', 'minion', 'neighbor', 'ion', 'min', 'house', 'mod', 'game']",granny,scary,horror,minion,neighbor,ion,min,house,mod,game
13,Who tried to unlock my phone - Alarms on touching,com.amantechnoapps.whotryunlock,"Who tried to unlock my phone - Alarms on touching protect your mobile phone from theft and unknown people, who will try to open your mobile secretly without your permission. With this Anti-theft app, you will not be afraid to let your mobile anywhere in your surroundings.
Who tried to unlock my phone - Alarms on touching keeps safe your device from unknown people and thefts. If you activate the alarm, no one could touch it, because sound will be activated if any one touch or take the mobile.
This anti touching phone app is the best answer against thief touching my phone by triggering the alarm anti furto tones. Who tried to unlock my phone - Alarms on touching have also other functions such as phone mobile alarm, anti-theft alarm and phone theft security . It can also works as phone thief catcher and mobile safety alarm with mobile antitheft security system with trigger alarm.
How to Use Who tried to unlock my phone - Alarms on touching:
1. Click Start to activate the Anti-theft Alarm
2. Place the device anywhere
3. If anyone touches the mobile, it will activate the alarm.
4. You will be notified.",['TOOLS'],ANDROID,en,"['alarm', 'theft', 'touching', 'anti', 'phone', 'tried', 'mobile', 'activate', 'unlock', 'thief']",alarm,theft,touching,anti,phone,tried,mobile,activate,unlock,thief
14,HK Radio,org.igears.hkradio,"Hong Kong offers different HK Radio radio broadcast to mobile users. You can easily find and listen to the broadcast. We aim to provide you with smooth app experience.
This app need to use your data or WIFI.
If you want to add, update or remove your radio channels, please email hkmobpage@gmail.com.
Hong Kong is provided by MobPage. We are Innovative Mobile Application Consultancy and Developer Company.",['ENTERTAINMENT'],ANDROID,en,"['radio', 'kong', 'hong', 'broadcast', 'hk', 'consultancy', 'mobpage', 'hkmobpage', 'innovative', 'mobile']",radio,kong,hong,broadcast,hk,consultancy,mobpage,hkmobpage,innovative,mobile
15,Crazy Magic Photo Editor,com.visu.crazy.magic.photo.editor,"Crazy Echo Magic Photo Editor
If you want to try different type of motions of your photo,clones with mirror effect,to show your creativity with your pictures styles, then this is the best and new Echo Mirror effect application to try for free.
You can convert your photo in to Reflection,Twin,Repeat,Multi photo effects and many more with amazing and beautiful backgrounds and frames. It is a best photo maker and editor for you with square and selfie camera.
This Echo Magic app has 2 types of great options.
Echo Effect
This Echo effect lets you create stunning and creative mirror effects with 3D&2D photo mirrors. By using this option you can see your photo in Twin and Reflection effects. You can create left&right,up&down reflections,repeating style with this amazing tool.
Crazy Mirror snap
You can make awesome funny and stunning photos by using this crazy snap effect. Decorate with different effect sticker, boarders and backgrounds. It's an awesome mirror type effects option. Make wonderful photos with crazy snap Effect,Filters and colorful emojis and text.
Highlights
★ Select your photo from your camera or gallery
★ Creative 3D Echo and mirror effects
★ Awesome HD backgrounds and images
★ Left and Right Mirrors,Top and Bottom Mirrors
★ Decorate with creative stickers and filters
★ Add text,boarders and colorful frames
★ Many more collection of efcho and crazy mirror effects
★ Zoom and move your photos to anywhere according to your style
★ Share your creations in onlint platforms.
Please give rating and comment if you like this amazing echo and crazy mirror application.",['ART_AND_DESIGN'],ANDROID,en,"['mirror', 'echo', 'effect', 'photo', 'crazy', 'reflection', 'snap', 'boarder', 'creative', 'twin']",mirror,echo,effect,photo,crazy,reflection,snap,boarder,creative,twin
16,Slow Motion Video Maker - Slow motion movie maker,com.video.slowmotion.maker,"Slow Motion Video Maker is the easiest video editing tool/slideshow maker/effect camera to make stylish videos and photos. With minimum operations, a spark video combined with magic effects, fantastic filters, text editing, special slow motion effects, Reverse video effects, video trimming, stickers, hot music will be shown. We’re a free Slow Motion Video Maker editing app for all social apps like YouTube, Instagram, Facebook, Messenger, Musically, Tik Tok, Twitter etc. no watermark on video.
Slow Motion Video makes any video in Slow motion using this app and make it amazing video with Slow Motion Video Maker app.
Slow Motion Video editor application slows down video speed. Let's explore the great features in our slow-motion app
You give perfect time interval and select your slow-motion speed like 1/2x, 1/3x up to 1/10x with same video quality.
Use this app to decrease speed of the video. You can make whole video run in slow motion or particular portion of video.
slow motion video maker easy to use interface that allows you to browse through your files and select the video you want to convert slow motion effect with just one click. Video Editor, Video slow motion converter is totally free to use app.
Video Speed Control
- Capture or fetch all your video in app from device at one place.
- You can also set factor for slow motion video such as 1/x, 2/x, 3/x up to 16/x for ultra slow motion video.
- Adjust video speed with video filters and video effects. Fast/Slow motion video maker and free video trimmer app.
- Speed up your video in a fun way.
- Add slow motion to your video for special moments.
Video Trimmer
- Here you can also set video portion that only you want to slow from whole the video.
Video Filters and Video Effects
- Add movie style video filters and video effects such as glitch effect.
Add Music to the Video
- Add your own music to the slow mo video with best quality output.
Reverse Video
- Convert your slowmotion videos with Superb Reverse Effects.
Text & Sticker
- You can add text on video with amazing best option of fonts and styles
- Add stylish stickers and emojis, quote stickers etc.
Video Rotate & Video Flip
Rotate video by 90 degree.
Flip video up to down or left to right.
Export & Share
- Custom video export resolution, HD video editor.
- Compress video without losing quality.
- No watermark on videos.
- Share to social apps like YouTube, Instagram, Facebook, Messenger, Musically, Tik Tok, Twitter etc.
- It is a simple and Light weight process for Slow Motion Video.
Thank you for reading.",['VIDEO_PLAYERS'],ANDROID,en,"['video', 'slow', 'motion', 'effect', 'maker', 'speed', 'reverse', 'add', 'filter', 'sticker']",video,slow,motion,effect,maker,speed,reverse,add,filter,sticker
17,Mobile Phone Photo Frames,com.ram.mobilephonephotoframes,"MOBILE PHONE Photo Frames
STEPS:
✔Select any photo / picture from Gallery (or) Take a picture using Camera and embed the photo of your choice into beautiful Mobile Phone Photo Frames.
✔You can easily apply different color, photo effects or fonts to your pictures with Mobile Phone Photo Frames.
✔Share your images via WhatsApp, Telegram, Line, Facebook, Twitter, email and other social networks.
Key Features:
✔ Select a photo or picture from gallery or capture it with your camera phone in real time.
✔ You can add text to the frame, Can change the size, color and font of the text at any time.
✔ You can Rotate, scale, zoom in, zoom out or drag the photo to fit the frame as you like.
✔ More than 30 Mobile Phone Photo frames are available in this app.
✔ Mobile Phone Photo Frames app supports all screen resolutions of mobile and tablet devices.
✔ Save your image to SD card.
✔ Share your images via WhatsApp, Telegram, Line, Facebook, Twitter, email and other social networks.
✔ Save your new edited Mobile Phone Frame images and share it instantly on social networks.
✔ Mobile Phone Photo Frames is very easy to use.
✔ Mobile Phone Photo Frames does not require internet connection.
✔ Mobile Phone Photo Frames is completely free download.
Download Mobile Phone Photo Frames App now.",['PHOTOGRAPHY'],ANDROID,en,"['frame', 'photo', 'mobile', 'phone', 'picture', 'image', 'network', 'telegram', 'social', 'zoom']",frame,photo,mobile,phone,picture,image,network,telegram,social,zoom
18,BlackPink Wallpapers Ultra HD and LIVE,com.vn.goforoid.blackpink.wallpaper,"BlackPink Wallpapers KPOP Ultra HD is a free app that has a large collection of Ultra HD wallpapers for BlackPink fans. New best HD wallpapers every day
Black Pink (Hangul: 블랙핑크), stylized as BLACKPINK or BLΛƆKPIИK, is a South Korean girl group formed by YG Entertainment, consisting of members Jisoo, Jennie, Rosé and Lisa.
Black Pink is the highest-charting female K-pop act on Billboard Hot 100, peaking at number 55.[1] They are the first and only K-pop girl group and the second K-pop act overall, besides NCT, to enter Billboard's Emerging Artists chart and lead it.[1] They are also the first female K-pop group to have four number-one singles on Billboard's World Digital Song Sales chart
More than +5.000 high quality pictures about BlackPink wallpaper that you can download or save as wallpaper. App is designed for Android phone & tablet, so app can work on any screen sizes.
Features of BlackPink Wallpapers KPOP Ultra HD store:
👉 Simple, Fast and Lighweight:
- We focuses on simplicity of the app, which gives great performance. Optimized battery usage
👉 Live Wallpapers
- New feature released. The app supports LIVE wallpapers. Very impressive. Let's enjoy.
👉 Offline Cache
- The app can work offline to show photos that were loaded successfully before.
👉 Setting wallpapers:
- You can set wallpaper in just one click. No need to open gallery and find images.
👉 Favorites:
- All favorites photos are placed under one roof.
👉 Share:
- You can easily share photos you liked with anyone with one click.
👉 Photo Effects and Filters:
- Make your photos more appealing with the filters and effects.
👉 Weekly updates
👉 Compatible with 99% of mobile phones and devices.
👉 Full support for portrait and landscape mode",['ART_AND_DESIGN'],ANDROID,en,"['wallpaper', 'blackpink', 'billboard', 'pop', 'ultra', 'photo', 'hd', 'group', 'kpop', 'pink']",wallpaper,blackpink,billboard,pop,ultra,photo,hd,group,kpop,pink
19,Anti Clash ⛺️ Tower Defense Offline Orc Clans War,net.evolutionvault.anticlash,"Do you want to break your Clash of Whatever 🌋 addiction? then play Anti Clash TD
What if you could play Clash of Whatever as a real time arcade game 🕹??? No more waiting days for buildings. Build your towers and village 🌇 like in a classic Tower Defense game. No more waiting, no more crystal rampage, just lot of fun 👍.
Guard Your Base in this tower defense games against endless waves of enemy, enjoy the non-stop action, always construct and upgrade your base in real time. Re
This app work offline so No Internet, No Worries you can still build Your Kingdom and rule the world with your army.
Download once & play anywhere without Internet
Experience the Medieval Age by building your  dream city and defend against the orc hordes. So young lord are you motivated enough to become a King on hardcore mode?
This game was inspired by my old game. While playing it, I had a question. How would be to be able to play a Clash of whatever game without having to wait days for your buildings to get done? And this is how the game was born.
You are welcome to experience the war in a mix of the best gaming genes: City Building, Tower Defense, Real Time Strategy, Massively Multiplayer Online Game.
Pr3t3nd3r  presents:  Anti Clash Tower Defense Offline: Orc  Clans War featuring:
★ Super Fast build of the city, not having to wait days like in other defense games
★ Next generation 3D immersion experience
★ Build your village and improve the defence  against the invading hordes.
★ Defend your base with towers, bombs and strategic placing
★ Upgrade you town to level 30
★ Constant updating and improving the game play based on players input
★ Epic clash of forces in a battle for supremacy
★ Helps you with your strategic planning abilities since you have to think how to set up your base and what tactics to use
★ Big armies , strong defenses ,very much fun playing & great time killer
★ A game for those people who like a real war.
★  Heavy siege units
★ Not defending with towers only but also with troops
★ Become the ultimate War Chief
Future Plans - To Do's
- Powerful Heroes with powerful abilities
Development focused on Gameplay
This game is a great combination of tower defense and tower offense. Upgrade different troops for raids, build different towers and path designs, the options in war are endless, and only a skilled tactician can find them
Before rating please remember that I'm only one developer and I do my best to develop, Improve and fix the game. But I don't know exactly what your problems are. If you contact me with bugs and game suggestions I promise they will be fixed fasted than in any other game
Internet access is NOT required all the time to be able to play
The Horde need a strong chief are you up to the challenge ?",['GAME_SIMULATION'],ANDROID,en,"['tower', 'defense', 'clash', 'game', 'war', 'build', 'base', 'building', 'horde', 'whatever']",tower,defense,clash,game,war,build,base,building,horde,whatever
20,Bowled 3D - Cricket Game,com.gappsolutions.bowled,"The top sports game for real cricket fans has finally arrived Bowled 3D Cricket Game is a free fantasy game which is kind of a fun addictive for every cricket mania.
You, as a bowler in this 3d cricket game, has to hit 3 sticks also known as stumps. Just swipe the ball towards stumps, if ball hits the cricket stick, you score points. Keep hitting the stumps and score more. Play to gather trophies and unlock more difficult levels. This is a very fun, addictive and improved 2018 game. Anyone can play, no need to know about any Cricket Games.
There are different type of challenges at each level. As you go on scoring more points, you will unlock next levels. Just aim the stumps.
Are you looking for top sports game to play on your device? If you do, try our latest version of Bowled 3D. In this new version, you can sharpen your skills as a bowler, especially in spin bowling department as we have included different type of spin bowling options such as off spin, leg spin and spin twin.
Why do people love playing Bowled 3D?
FREE TOP SPORTS GAME FOR EVERYONE
Enjoy our real cricket game of 2018 without spending any money. You can download and play our fantasy sport anytime and anywhere for free
ADDICTIVE GAMEPLAY
Once you have tried our fantasy sport, you will never want to stop. You will like to see ball hitting the stick each time. Beat your best cricket score and compete with your friends
SIMPLE RULES
The rule in bowled is simple: swipe the ball at a perfect angle towards stumps to score points. As you record more points you get trophies. Each time you get 2 such man of the match cup, you can unlock next level
CHALLENGING LEVELS
Although the rules & gameplay look simple, it’s not that easy to master at all. You will miss a lot at first few tries. Maybe you will feel frustrated initially. As you practice, you feel you are bowling like a real pro player However, the challenge is part of the fun playing this fantasy cricket game
BEAUTIFUL DESIGN
Even though it’s just a fantasy sport, you will feel like you’re playing live in the real field. We have added more features, more levels and attractive graphics in this newer version
FOUR LEVELS OF REAL CRICKET BOWLING
There are four levels : Rookie, Off Spin, Leg Spin, and Spin Twin. Collect trophies to unlock more levels. Keep practicing, you’ll be a top player in no time and can compete with other players across the world by posting your live score
BECOME THE BEST BOWLER
Bowled is integrated with Google Play Games Services. Now you can post your scores live to leaderboard and unlock many achievements. Score as many points as possible and place yourself on top of the Global Leaderboard. You can compare your scores with live score of other players through leaderboard and try to beat them. It takes practice to gather all the cup and achievements, but once you master this gameplay, you can be the best bowler in the world
SHARE WITH YOUR FRIENDS
Don’t forget to share and invite your friends too, so they can also enjoy this fun cricket game. We hope you enjoy it and support us to make this one of the top sports games
If you like this game, please rate it, share with your friends and compete with them
Happy Bowling and Have Fun …",['GAME_SPORTS'],ANDROID,en,"['cricket', 'spin', 'score', 'bowled', 'stump', 'bowling', 'sport', 'game', 'fantasy', 'bowler']",cricket,spin,score,bowled,stump,bowling,sport,game,fantasy,bowler
21,Bouncing Balls,pinka.bouncing.balls,"This is a Bubble Shooting Classic, it has 3 modes and a lot of levels for you to enjoy
Puzzle Mode: Try to clear all the bubbles on the screen before the reach the bottom, the roof drops every number of shots.
Arcade Mode: You race against the ever closing roof that is always lowering towards the bottom, while you try to clear all the bubbles from the screen.
Classic Mode: An Endless mode where you play for a higher score.
Basics:
* Aim and shoot with your finger.
* Match 3 or more bubbles of the same color.
* Pleasing aesthetics.
If you didn’t win, try again, you'll get it next time
Our games are free to play, so if you enjoy this one,
Please consider giving it a 5 star rating and try our other games.",['GAME_CASUAL'],ANDROID,en,"['bubble', 'mode', 'roof', 'try', 'bottom', 'clear', 'classic', 'basics', 'closing', 'lowering']",bubble,mode,roof,try,bottom,clear,classic,basics,closing,lowering
